linea,estilo,estilo,op,minutaje,fecha,fecha,cantidad,minutos_producidos,min_trab,eficiencia_pct,eficiencia,categoria
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0070,'Estilo',236985.0,14.0756,3/03/2021,'Fecha',313.0,4405.6628,8064.0,54.63371527777778,0.5463371527777778,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0070,H8622,236985.0,14.0756,3/03/2021,10/03/2021,87.0,1224.5772,8064.0,15.185729166666667,0.15185729166666667,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0070,Total H8622,236985.0,14.0756,4/03/2021,,374.0,5264.2744,8064.0,65.28118055555557,0.6528118055555556,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0070,,236985.0,14.0756,5/03/2021,Total 10/03/2021,34.0,478.5704,8064.0,5.934652777777778,0.05934652777777778,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0070,H8622,236985.0,14.0756,5/03/2021,11/03/2021,410.0,5770.996,8064.0,71.56493055555556,0.7156493055555556,Media
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,237314.0,14.0756,8/03/2021,,250.0,3518.9,6089.0,57.791098702578424,0.5779109870257843,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,237314.0,14.0756,9/03/2021,Total 11/03/2021,260.0,3659.656,6912.0,52.946412037037035,0.5294641203703704,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,237313.0,14.0756,10/03/2021,12/03/2021,160.0,2252.096,6912.0,32.58240740740741,0.3258240740740741,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,237314.0,14.0756,10/03/2021,,90.0,1266.804,6912.0,18.327604166666667,0.18327604166666667,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,237313.0,14.0756,11/03/2021,Total 12/03/2021,404.0,5686.5424,5760.0,98.72469444444445,0.9872469444444445,Alta
Línea 72 Sup. JOSE CAPUÑAY,H8622,AV056-PT0074,237312.0,14.0756,12/03/2021,15/03/2021,485.0,6826.666,5760.0,118.51850694444445,1.1851850694444446,
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total AV056-PT0074,237313.0,14.0756,12/03/2021,,94.0,1323.1064,5760.0,22.97059722222222,0.22970597222222222,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0074,,236986.0,13.5756,15/03/2021,Total 15/03/2021,99.0,1343.9844,4608.0,29.166328125000003,0.29166328125,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0074,AV056-PT0074,236986.0,13.5756,15/03/2021,16/03/2021,301.0,4086.2556,4608.0,88.677421875,0.88677421875,Alta
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0074,Total AV056-PT0074,236986.0,13.5756,16/03/2021,,307.0,4167.7092,4608.0,90.445078125,0.90445078125,Alta
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,237312.0,14.0756,16/03/2021,,35.0,492.646,4608.0,10.691102430555556,0.10691102430555556,Baja
Línea 72 Sup. JOSE CAPUÑAY,PADERNA 11,Total H8622,237906.0,20.3628,17/03/2021,,2.0,40.7256,4608.0,0.8838020833333333,0.008838020833333333,Baja
Línea 72 Sup. JOSE CAPUÑAY,PADERNA 11,,237906.0,20.3628,17/03/2021,Total 16/03/2021,77.0,1567.9356,4608.0,34.026380208333336,0.34026380208333334,Baja
Línea 72 Sup. JOSE CAPUÑAY,PADERNA 11,PADERNA 11,237906.0,20.3628,18/03/2021,17/03/2021,171.0,3482.0388,4608.0,75.565078125,0.75565078125,Media
Línea 72 Sup. JOSE CAPUÑAY,PADERNA 11,Total PADERNA 11,237906.0,20.3628,18/03/2021,,13.0,264.7164,4608.0,5.744713541666667,0.05744713541666667,Baja
Línea 72 Sup. JOSE CAPUÑAY,PADERNA 11,,237906.0,20.3628,19/03/2021,Total 17/03/2021,157.0,3196.9596,4608.0,69.37846354166666,0.6937846354166666,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,PADERNA 11,236572.0,16.7518,22/03/2021,18/03/2021,100.0,1675.18,6912.0,24.23582175925926,0.2423582175925926,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,Total PADERNA 11,236572.0,16.7518,23/03/2021,,167.0,2797.5506,6912.0,40.473822337962964,0.40473822337962967,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,,236572.0,16.7518,23/03/2021,Total 18/03/2021,24.0,402.0432,6912.0,5.816597222222223,0.05816597222222222,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,PADERNA 11,236572.0,16.7518,24/03/2021,19/03/2021,98.0,1641.6764,9792.0,16.765486111111112,0.16765486111111114,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,Total PADERNA 11,236572.0,16.7518,24/03/2021,,29.0,485.8022,9792.0,4.961215277777778,0.04961215277777778,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,,236572.0,16.7518,24/03/2021,Total 19/03/2021,85.0,1423.903,9792.0,14.541493055555554,0.14541493055555554,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,AV056-PT0072,236572.0,16.7518,25/03/2021,2/03/2021,236.0,3953.4248,9456.0,41.80863790186125,0.4180863790186125,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,Total AV056-PT0072,236572.0,16.7518,26/03/2021,,45.0,753.831,8640.0,8.724895833333333,0.08724895833333333,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,236991.0,14.0756,26/03/2021,Total 2/03/2021,75.0,1055.67,8640.0,12.21840277777778,0.12218402777777779,Baja
Línea 72 Sup. JOSE CAPUÑAY,POLO BOX,POLO BOX,236572.0,16.7518,29/03/2021,22/03/2021,133.0,2227.9894,8640.0,25.786914351851852,0.25786914351851853,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,236991.0,14.0756,29/03/2021,,270.0,3800.412,8640.0,43.98625,0.4398625,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total POLO BOX,237015.0,14.0756,30/03/2021,,310.0,4363.436,10692.0,40.81028806584362,0.4081028806584362,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,,236988.0,14.0756,31/03/2021,Total 22/03/2021,71.0,999.3676,9456.0,10.56860829103215,0.1056860829103215,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,POLO BOX,237015.0,14.0756,31/03/2021,23/03/2021,182.0,2561.7592,9456.0,27.09136209813875,0.2709136209813875,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,,236988.0,14.0756,5/04/2021,,138.0,1942.4328,4032.0,48.17541666666666,0.48175416666666665,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,Total POLO BOX,236988.0,14.0756,6/04/2021,,159.0,2238.0204,5184.0,43.17168981481481,0.4317168981481481,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,,236988.0,14.0756,7/04/2021,Total 23/03/2021,180.0,2533.608,4959.0,51.09110707803993,0.5109110707803993,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,POLO BOX,236988.0,14.0756,8/04/2021,24/03/2021,43.0,605.2508,6396.0,9.462958098811757,0.09462958098811758,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239354.0,13.0178,8/04/2021,,107.0,1392.9046,6396.0,21.777745465916198,0.21777745465916198,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MU147,Total POLO BOX,237957.0,27.2239,9/04/2021,,67.0,1824.0013,6336.0,28.787899305555552,0.28787899305555553,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MU147,,237957.0,27.2239,9/04/2021,Total 24/03/2021,116.0,3157.9724,6336.0,49.84173611111111,0.4984173611111111,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MU147,POLO BOX,237957.0,27.2239,9/04/2021,25/03/2021,87.0,2368.4793,6336.0,37.38130208333333,0.3738130208333333,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239354.0,13.0178,9/04/2021,,203.0,2642.6134,6336.0,41.707913510101015,0.41707913510101013,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total POLO BOX,239354.0,13.0178,12/04/2021,,180.0,2343.204,6336.0,36.982386363636365,0.36982386363636366,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239354.0,13.0178,13/04/2021,Total 25/03/2021,85.0,1106.513,6336.0,17.46390467171717,0.1746390467171717,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,239399.0,13.0178,13/04/2021,26/03/2021,52.0,676.9256,6336.0,10.683800505050506,0.10683800505050506,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239399.0,13.0178,13/04/2021,,163.0,2121.9014,6336.0,33.489605429292936,0.33489605429292935,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,239353.0,13.0178,14/04/2021,,160.0,2082.848,6912.0,30.133796296296296,0.30133796296296295,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,POLO BOX,239353.0,13.0178,14/04/2021,,115.0,1497.047,6912.0,21.658666087962963,0.21658666087962963,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total POLO BOX,239399.0,13.0178,14/04/2021,,350.0,4556.23,6912.0,65.91767939814814,0.6591767939814814,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239353.0,13.0178,15/04/2021,Total 26/03/2021,530.0,6899.434,6912.0,99.81820023148148,0.9981820023148148,Alta
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,239353.0,13.0178,16/04/2021,29/03/2021,77.0,1002.3706,6804.0,14.73207818930041,0.1473207818930041,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,239353.0,13.0178,16/04/2021,,168.0,2186.9904,6804.0,32.14271604938272,0.3214271604938272,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,POLO BOX,239355.0,13.0178,16/04/2021,,9.0,117.1602,6804.0,1.7219312169312169,0.01721931216931217,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total POLO BOX,239355.0,13.0178,16/04/2021,,14.0,182.2492,6804.0,2.678559670781893,0.02678559670781893,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239355.0,13.0178,19/04/2021,Total 29/03/2021,2.0,26.0356,5761.0,0.4519284846380836,0.004519284846380836,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,AV056-PT0070,239355.0,13.0178,19/04/2021,3/03/2021,240.0,3124.272,5761.0,54.231418156570044,0.5423141815657004,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total AV056-PT0070,239355.0,13.0178,20/04/2021,,275.0,3579.895,5760.0,62.15095486111111,0.6215095486111111,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239358.0,13.7858,20/04/2021,Total 3/03/2021,50.0,689.29,5760.0,11.966840277777777,0.11966840277777777,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,239358.0,13.7858,21/04/2021,30/03/2021,350.0,4825.03,5184.0,93.07542438271604,0.9307542438271603,Alta
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,239358.0,13.7858,22/04/2021,,320.0,4411.456,5544.0,79.57171717171717,0.7957171717171717,Media
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239358.0,13.7858,23/04/2021,Total 30/03/2021,220.0,3032.876,5185.0,58.493269045323046,0.5849326904532305,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,AV056-PP1828,239358.0,13.0178,23/04/2021,31/03/2021,83.0,1080.4774,5185.0,20.838522661523626,0.20838522661523626,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239358.0,13.0178,23/04/2021,,17.0,221.3026,5185.0,4.268131147540983,0.042681311475409836,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total AV056-PP1828,239358.0,13.0178,26/04/2021,,99.0,1288.7622,5544.0,23.246071428571426,0.23246071428571427,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,239397.0,13.0178,26/04/2021,,60.0,781.068,5544.0,14.088528138528138,0.1408852813852814,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,239397.0,13.0178,26/04/2021,,46.0,598.8188,5544.0,10.801204906204905,0.10801204906204905,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239397.0,13.0178,26/04/2021,Total 31/03/2021,135.0,1757.403,5544.0,31.699188311688314,0.31699188311688314,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,AV056-PT0070,239397.0,13.0178,27/04/2021,4/03/2021,363.0,4725.4614,5724.0,82.55523060796645,0.8255523060796645,Media
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,Total AV056-PT0070,239310.0,14.0756,28/04/2021,,280.0,3941.168,5604.0,70.3277658815132,0.703277658815132,Media
Línea 72 Sup. JOSE CAPUÑAY,AV056-PP1828,,239310.0,14.0756,29/04/2021,Total 4/03/2021,336.0,4729.4016,5604.0,84.39331905781586,0.8439331905781586,Media
Línea 72 Sup. JOSE CAPUÑAY,H8622,AV056-PT0070,239399.0,13.0178,29/04/2021,5/03/2021,60.0,781.068,5604.0,13.937687366167022,0.13937687366167023,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total AV056-PT0070,239396.0,13.0178,30/04/2021,,100.0,1301.78,5724.0,22.74248777078966,0.22742487770789657,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239399.0,13.0178,30/04/2021,Total 5/03/2021,156.0,2030.7768,5724.0,35.478280922431864,0.35478280922431865,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,239396.0,13.0178,3/05/2021,8/03/2021,300.0,3905.34,5011.0,77.93534224705648,0.7793534224705648,Media
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,239359.0,13.0178,7/05/2021,9/03/2021,330.0,4295.874,5184.0,82.8679398148148,0.8286793981481481,Media
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,239359.0,13.0178,7/05/2021,,29.0,377.5162,5184.0,7.282334104938272,0.07282334104938272,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239359.0,13.0178,10/05/2021,Total 9/03/2021,47.0,611.8366,5880.0,10.405384353741496,0.10405384353741497,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239359.0,13.0178,10/05/2021,,53.0,689.9434,5880.0,11.733731292517007,0.11733731292517006,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,1MU147,239359.0,13.0178,11/05/2021,12/04/2021,213.0,2772.7914,6000.0,46.21319,0.4621319,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total 1MU147,239359.0,13.0178,11/05/2021,,6.0,78.1068,6000.0,1.3017800000000002,0.013017800000000001,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,239360.0,13.0178,11/05/2021,,67.0,872.1926,6000.0,14.536543333333332,0.14536543333333332,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,Total H8622,239359.0,13.0178,12/05/2021,,94.0,1223.6732,6060.0,20.19262706270627,0.2019262706270627,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239360.0,13.0178,12/05/2021,Total 12/04/2021,146.0,1900.5988,6060.0,31.363016501650165,0.31363016501650165,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,H8622,239359.0,13.0178,13/05/2021,13/04/2021,10.0,130.178,6300.0,2.0663174603174603,0.020663174603174603,Baja
Línea 72 Sup. JOSE CAPUÑAY,H8622,,239359.0,13.0178,13/05/2021,,168.0,2186.9904,6300.0,34.714133333333336,0.34714133333333336,Baja
Línea 72 Sup. JOSE CAPUÑAY,56698,Total H8622,239100.0,15.875,14/05/2021,,285.0,4524.375,6178.0,73.23365166720622,0.7323365166720621,Media
Línea 72 Sup. JOSE CAPUÑAY,56698,,239100.0,15.875,14/05/2021,Total 13/04/2021,118.0,1873.25,6178.0,30.32130139203626,0.3032130139203626,Baja
Línea 72 Sup. JOSE CAPUÑAY,56698,H8622,239100.0,15.875,17/05/2021,14/04/2021,168.0,2667.0,5724.0,46.59329140461216,0.4659329140461216,Baja
Línea 72 Sup. JOSE CAPUÑAY,56698,Total H8622,239100.0,15.875,18/05/2021,,168.0,2667.0,5724.0,46.59329140461216,0.4659329140461216,Baja
Línea 72 Sup. JOSE CAPUÑAY,56698,,239100.0,15.875,19/05/2021,Total 14/04/2021,168.0,2667.0,5724.0,46.59329140461216,0.4659329140461216,Baja
Línea 72 Sup. JOSE CAPUÑAY,56698,H8622,239100.0,15.875,20/05/2021,15/04/2021,82.0,1301.75,5184.0,25.110918209876544,0.2511091820987654,Baja
Línea 72 Sup. JOSE CAPUÑAY,DARTEN,Total H8622,240983.0,15.9252,21/05/2021,,85.0,1353.642,5244.0,25.813157894736843,0.25813157894736843,Baja
Línea 72 Sup. JOSE CAPUÑAY,DARTEN,,240983.0,15.9252,21/05/2021,Total 15/04/2021,55.0,875.886,5244.0,16.70263157894737,0.1670263157894737,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PA8415,H8622,239876.0,14.0756,24/05/2021,16/04/2021,150.0,2111.34,5184.0,40.72800925925926,0.40728009259259257,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PA8415,,239876.0,14.0756,25/05/2021,,182.0,2561.7592,5078.0,50.448192201654194,0.504481922016542,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PA8415,Total H8622,239876.0,14.0756,25/05/2021,,81.0,1140.1236,5078.0,22.452217408428513,0.22452217408428513,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PA8415,,239876.0,14.0756,26/05/2021,Total 16/04/2021,160.0,2252.096,5184.0,43.44320987654321,0.4344320987654321,Baja
Línea 72 Sup. JOSE CAPUÑAY,DMP P22 15,H8622,238896.0,28.9543,27/05/2021,19/04/2021,9.0,260.5887,5185.0,5.025818707810994,0.05025818707810994,Baja
Línea 72 Sup. JOSE CAPUÑAY,DMP P22 15,,238896.0,28.9543,27/05/2021,,47.0,1360.8521,5185.0,26.245942140790746,0.26245942140790746,Baja
Línea 72 Sup. JOSE CAPUÑAY,DMP P22 15,Total H8622,238897.0,28.9543,28/05/2021,,70.0,2026.801,6204.0,32.66926176660219,0.3266926176660219,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PA8415,,239873.0,14.0756,31/05/2021,Total 19/04/2021,260.0,3659.656,5184.0,70.59521604938271,0.7059521604938271,Media
Línea 72 Sup. JOSE CAPUÑAY,1MV135,H8622,241455.0,27.4449,1/06/2021,20/04/2021,30.0,823.347,5144.0,16.005968118195955,0.16005968118195957,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MV135,,241455.0,27.4449,2/06/2021,,35.0,960.5715,5760.0,16.676588541666668,0.16676588541666668,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MV135,,241455.0,27.4449,2/06/2021,,35.0,960.5715,5760.0,16.676588541666668,0.16676588541666668,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MV135,Total H8622,241455.0,27.4449,3/06/2021,,23.0,631.2327,5760.0,10.958901041666667,0.10958901041666667,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MV135,,241455.0,27.4449,3/06/2021,Total 20/04/2021,47.0,1289.9103,5760.0,22.394276041666668,0.2239427604166667,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MV135,H8622,241455.0,27.4449,4/06/2021,21/04/2021,16.0,439.1184,5753.0,7.632859377715974,0.07632859377715974,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MV135,,241455.0,27.4449,4/06/2021,,2.0,54.8898,5753.0,0.9541074222144967,0.009541074222144967,Baja
Línea 72 Sup. JOSE CAPUÑAY,1MV135,Total H8622,241455.0,27.4449,4/06/2021,,32.0,878.2368,5753.0,15.265718755431948,0.15265718755431948,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,,239877.0,15.1576,7/06/2021,Total 21/04/2021,9.0,136.4184,6782.0,2.011477440283102,0.02011477440283102,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,H8622,239877.0,15.1576,7/06/2021,22/04/2021,48.0,727.5648,6782.0,10.72787968150988,0.10727879681509879,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,,239877.0,15.1576,7/06/2021,,44.0,666.9344,6782.0,9.833889708050721,0.0983388970805072,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,Total H8622,239877.0,15.1576,7/06/2021,,46.0,697.2496,6782.0,10.280884694780301,0.10280884694780301,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,,239877.0,15.1576,7/06/2021,Total 22/04/2021,46.0,697.2496,6782.0,10.280884694780301,0.10280884694780301,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,H8622,239877.0,15.1576,7/06/2021,23/04/2021,48.0,727.5648,6782.0,10.72787968150988,0.10727879681509879,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,,239877.0,15.1576,7/06/2021,,29.0,439.5704,6782.0,6.481427307578885,0.06481427307578885,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,Total H8622,239877.0,15.1576,8/06/2021,,21.0,318.3096,6912.0,4.605173611111111,0.04605173611111111,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,,239877.0,15.1576,8/06/2021,Total 23/04/2021,82.0,1242.9232,6912.0,17.98210648148148,0.1798210648148148,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,H8622,239878.0,15.1576,8/06/2021,26/04/2021,13.0,197.0488,6912.0,2.8508217592592593,0.028508217592592592,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,Total H8622,239878.0,15.1576,8/06/2021,,91.0,1379.3416,6912.0,19.955752314814816,0.19955752314814817,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,,239878.0,15.1576,8/06/2021,Total 26/04/2021,12.0,181.8912,6912.0,2.631527777777778,0.026315277777777778,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,H8622,239878.0,15.1576,8/06/2021,27/04/2021,51.0,773.0376,6912.0,11.183993055555556,0.11183993055555556,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,Total H8622,239878.0,15.1576,8/06/2021,,20.0,303.152,6912.0,4.385879629629629,0.04385879629629629,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,,239878.0,15.1576,8/06/2021,Total 27/04/2021,181.0,2743.5256,6912.0,39.69221064814815,0.39692210648148146,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,AV056-PP1828,239878.0,15.1576,8/06/2021,28/04/2021,72.0,1091.3472,6912.0,15.789166666666665,0.15789166666666665,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,Total AV056-PP1828,239878.0,15.1576,9/06/2021,,1.0,15.1576,6912.0,0.21929398148148146,0.0021929398148148147,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,H8622,239878.0,15.1576,9/06/2021,,3.0,45.4728,6912.0,0.6578819444444445,0.006578819444444444,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,Total H8622,239878.0,15.1576,9/06/2021,,29.0,439.5704,6912.0,6.359525462962963,0.06359525462962963,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,,239878.0,15.1576,9/06/2021,Total 28/04/2021,110.0,1667.336,6912.0,24.122337962962963,0.24122337962962961,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,AV056-PP1828,239878.0,15.1576,9/06/2021,29/04/2021,25.0,378.94,6912.0,5.482349537037037,0.05482349537037037,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,Total AV056-PP1828,239878.0,15.1576,9/06/2021,,25.0,378.94,6912.0,5.482349537037037,0.05482349537037037,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,H8622,239878.0,15.1576,9/06/2021,,38.0,575.9888,6912.0,8.333171296296296,0.08333171296296296,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,Total H8622,239880.0,15.1576,9/06/2021,,30.0,454.728,6912.0,6.578819444444445,0.06578819444444445,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,,239880.0,15.1576,9/06/2021,Total 29/04/2021,140.0,2122.064,6912.0,30.701157407407404,0.30701157407407403,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,H8622,239880.0,15.1576,10/06/2021,30/04/2021,70.0,1061.032,6912.0,15.350578703703702,0.15350578703703702,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-WZ0711,Total H8622,239880.0,15.1576,10/06/2021,,33.0,500.2008,6912.0,7.236701388888889,0.07236701388888889,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0355,,239882.0,14.0756,10/06/2021,Total 30/04/2021,297.0,4180.4532,6912.0,60.48109375000001,0.6048109375,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0355,1MU147,239882.0,14.0756,11/06/2021,5/04/2021,211.0,2969.9516,6795.0,43.70789698307579,0.4370789698307579,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0354,Total 1MU147,241918.0,14.0756,11/06/2021,,190.0,2674.364,6795.0,39.35782192788815,0.39357821927888154,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0354,AV056-PP1828,241918.0,14.0756,14/06/2021,,72.0,1013.4432,6912.0,14.662083333333333,0.14662083333333334,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0354,Total AV056-PP1828,241919.0,14.0756,14/06/2021,,328.0,4616.7968,6912.0,66.79393518518518,0.6679393518518517,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0353,,241890.0,14.0756,15/06/2021,Total 5/04/2021,158.0,2223.9448,8973.0,24.784852334782126,0.24784852334782126,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0354,1MU147,241919.0,14.0756,15/06/2021,6/04/2021,46.0,647.4776,8973.0,7.215843084809986,0.07215843084809986,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0354,Total 1MU147,241919.0,14.0756,15/06/2021,,96.0,1351.2576,8973.0,15.059150785690404,0.15059150785690403,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0353,AV056-PP1828,241890.0,14.0756,16/06/2021,,104.0,1463.8624,9792.0,14.949575163398693,0.14949575163398693,Baja
Línea 72 Sup. JOSE CAPUÑAY,3AM1,Total AV056-PP1828,239212.0,32.706,17/06/2021,,80.0,2616.48,9792.0,26.72058823529412,0.2672058823529412,Baja
Línea 72 Sup. JOSE CAPUÑAY,2208798,,239792.0,9.5661,18/06/2021,Total 6/04/2021,308.0,2946.3588,9754.0,30.20667213450892,0.3020667213450892,Baja
Línea 72 Sup. JOSE CAPUÑAY,3AM1,AV056-PP1828,241709.0,32.706,21/06/2021,7/04/2021,40.0,1308.24,4032.0,32.44642857142857,0.3244642857142857,Baja
Línea 72 Sup. JOSE CAPUÑAY,3AM1,Total AV056-PP1828,241710.0,32.706,21/06/2021,,50.0,1635.3,4032.0,40.55803571428571,0.40558035714285706,Baja
Línea 72 Sup. JOSE CAPUÑAY,AV056-PT0352,,241934.0,14.0756,22/06/2021,Total 7/04/2021,49.0,689.7044,4032.0,17.105763888888887,0.17105763888888886,Baja
